User Role,originatorName,USER ID/EUI64,DUIS Version,Environment
IS1,70-B3-D5-1F-31-AA-03-00_IS1_DUIS3.0,70-B3-D5-1F-31-AA-03-00_IS1_DUIS3.0,3.0,UIT-A
IS2,70-B3-D5-1F-31-AA-03-01_IS2_DUIS3.0,70-B3-D5-1F-31-AA-03-01,3.0,UIT-A
ES,70-B3-D5-1F-31-AA-03-02_ES_DUIS3.0,70-B3-D5-1F-31-AA-03-02,3.0,UIT-A
GS1,70-B3-D5-1F-31-AA-03-03_GS1_DUIS3.0,70-B3-D5-1F-31-AA-03-03,3.0,UIT-A
GS2,70-B3-D5-1F-31-AA-03-04_GS2_DUIS3.0,70-B3-D5-1F-31-AA-03-04,3.0,UIT-A
ED,70-B3-D5-1F-31-AA-03-05_ED_DUIS3.0,70-B3-D5-1F-31-AA-03-05,3.0,UIT-A
GT,70-B3-D5-1F-31-AA-03-06_GT_DUIS3.0,70-B3-D5-1F-31-AA-03-06,3.0,UIT-A
RSA,70-B3-D5-1F-31-AA-03-07_RSA_DUIS3.0,70-B3-D5-1F-31-AA-03-07,3.0,UIT-A
OU,70-B3-D5-1F-31-AA-03-08_OU_DUIS3.0,70-B3-D5-1F-31-AA-03-08,3.0,UIT-A
IS1,70-B3-D5-1F-31-AA-03-09_IS1_DUIS3.1,70-B3-D5-1F-31-AA-03-09,3.1,UIT-A
IS2,70-B3-D5-1F-31-AA-03-10_IS2_DUIS3.1,70-B3-D5-1F-31-AA-03-10,3.1,UIT-A
ES,70-B3-D5-1F-31-AA-03-11_ES_DUIS3.1,70-B3-D5-1F-31-AA-03-11,3.1,UIT-A
GS1,70-B3-D5-1F-31-AA-03-12_GS1_DUIS3.1,70-B3-D5-1F-31-AA-03-12,3.1,UIT-A
GS2,70-B3-D5-1F-31-AA-03-13_GS2_DUIS3.1,70-B3-D5-1F-31-AA-03-13,3.1,UIT-A
ED,70-B3-D5-1F-31-AA-03-14_ED_DUIS3.1,70-B3-D5-1F-31-AA-03-14,3.1,UIT-A
GT,70-B3-D5-1F-31-AA-03-15_GT_DUIS3.1,70-B3-D5-1F-31-AA-03-15,3.1,UIT-A
RSA,70-B3-D5-1F-31-AA-03-16_RSA_DUIS3.1,70-B3-D5-1F-31-AA-03-16,3.1,UIT-A
OU,70-B3-D5-1F-31-AA-03-17_OU_DUIS3.1,70-B3-D5-1F-31-AA-03-17,3.1,UIT-A
IS1,70-B3-D5-1F-31-AA-03-18_IS1_DUIS4.0,70-B3-D5-1F-31-AA-03-18,4.0,UIT-A
IS2,70-B3-D5-1F-31-AA-03-19_IS2_DUIS4.0,70-B3-D5-1F-31-AA-03-19,4.0,UIT-A
ES,70-B3-D5-1F-31-AA-03-20_ES_DUIS4.0,70-B3-D5-1F-31-AA-03-20,4.0,UIT-A
GS1,70-B3-D5-1F-31-AA-03-21_GS1_DUIS4.0,70-B3-D5-1F-31-AA-03-21,4.0,UIT-A
GS2,70-B3-D5-1F-31-AA-03-22_GS2_DUIS4.0,70-B3-D5-1F-31-AA-03-22,4.0,UIT-A
ED,70-B3-D5-1F-31-AA-03-23_ED_DUIS4.0,70-B3-D5-1F-31-AA-03-23,4.0,UIT-A
GT,70-B3-D5-1F-31-AA-03-24_GT_DUIS4.0,70-B3-D5-1F-31-AA-03-24,4.0,UIT-A
RSA,70-B3-D5-1F-31-AA-03-25_RSA_DUIS4.0,70-B3-D5-1F-31-AA-03-25,4.0,UIT-A
OU,70-B3-D5-1F-31-AA-03-26_OU_DUIS4.0,70-B3-D5-1F-31-AA-03-26,4.0,UIT-A
IS1,70-B3-D5-1F-31-AA-03-27_IS1_DUIS5.0,70-B3-D5-1F-31-AA-03-27,5.0,UIT-A
IS2,70-B3-D5-1F-31-AA-03-28_IS2_DUIS5.0,70-B3-D5-1F-31-AA-03-28,5.0,UIT-A
ES,70-B3-D5-1F-31-AA-03-29_ES_DUIS5.0,70-B3-D5-1F-31-AA-03-29,5.0,UIT-A
GS1,70-B3-D5-1F-31-AA-03-30_GS1_DUIS5.0,70-B3-D5-1F-31-AA-03-30,5.0,UIT-A
GS2,70-B3-D5-1F-31-AA-03-31_GS2_DUIS5.0,70-B3-D5-1F-31-AA-03-31,5.0,UIT-A
ED,70-B3-D5-1F-31-AA-03-32_ED_DUIS5.0,70-B3-D5-1F-31-AA-03-32,5.0,UIT-A
GT,70-B3-D5-1F-31-AA-03-33_GT_DUIS5.0,70-B3-D5-1F-31-AA-03-33,5.0,UIT-A
RSA,70-B3-D5-1F-31-AA-03-34_RSA_DUIS5.0,70-B3-D5-1F-31-AA-03-34,5.0,UIT-A
OU,70-B3-D5-1F-31-AA-03-35_OU_DUIS5.0,70-B3-D5-1F-31-AA-03-35,5.0,UIT-A
IS1,70-B3-D5-1F-31-AA-03-36_IS1_DUIS5.1,70-B3-D5-1F-31-AA-03-36,5.1,UIT-A
IS2,70-B3-D5-1F-31-AA-03-37_IS2_DUIS5.1,70-B3-D5-1F-31-AA-03-37,5.1,UIT-A
ES,70-B3-D5-1F-31-AA-03-38_ES_DUIS5.1,70-B3-D5-1F-31-AA-03-38,5.1,UIT-A
GS1,70-B3-D5-1F-31-AA-03-39_GS1_DUIS5.1,70-B3-D5-1F-31-AA-03-39,5.1,UIT-A
GS2,70-B3-D5-1F-31-AA-03-40_GS2_DUIS5.1,70-B3-D5-1F-31-AA-03-40,5.1,UIT-A
ED,70-B3-D5-1F-31-AA-03-41_ED_DUIS5.1,70-B3-D5-1F-31-AA-03-41,5.1,UIT-A
GT,70-B3-D5-1F-31-AA-03-42_GT_DUIS5.1,70-B3-D5-1F-31-AA-03-42,5.1,UIT-A
RSA,70-B3-D5-1F-31-AA-03-43_RSA_DUIS5.1,70-B3-D5-1F-31-AA-03-43,5.1,UIT-A
OU,70-B3-D5-1F-31-AA-03-44_OU_DUIS5.1,70-B3-D5-1F-31-AA-03-44,5.1,UIT-A
IS1,70-B3-D5-1F-31-AA-03-45_IS1_DUIS5.2,70-B3-D5-1F-31-AA-03-45,5.2,UIT-A
IS2,70-B3-D5-1F-31-AA-03-46_IS2_DUIS5.2,70-B3-D5-1F-31-AA-03-46,5.2,UIT-A
ES,70-B3-D5-1F-31-AA-03-47_ES_DUIS5.2,70-B3-D5-1F-31-AA-03-47,5.2,UIT-A
GS1,70-B3-D5-1F-31-AA-03-48_GS1_DUIS5.2,70-B3-D5-1F-31-AA-03-48,5.2,UIT-A
GS2,70-B3-D5-1F-31-AA-03-49_GS2_DUIS5.2,70-B3-D5-1F-31-AA-03-49,5.2,UIT-A
ED,70-B3-D5-1F-31-AA-03-50_ED_DUIS5.2,70-B3-D5-1F-31-AA-03-50,5.2,UIT-A
GT,70-B3-D5-1F-31-AA-03-51_GT_DUIS5.2,70-B3-D5-1F-31-AA-03-51,5.2,UIT-A
RSA,70-B3-D5-1F-31-AA-03-52_RSA_DUIS5.2,70-B3-D5-1F-31-AA-03-52,5.2,UIT-A
OU,70-B3-D5-1F-31-AA-03-53_OU_DUIS5.2,70-B3-D5-1F-31-AA-03-53,5.2,UIT-A
IS1,70-B3-D5-1F-31-AA-03-54_IS1_DUIS5.3,70-B3-D5-1F-31-AA-03-54,5.3,UIT-A
IS2,70-B3-D5-1F-31-AA-03-55_IS2_DUIS5.3,70-B3-D5-1F-31-AA-03-55,5.3,UIT-A
ES,70-B3-D5-1F-31-AA-03-56_ES_DUIS5.3,70-B3-D5-1F-31-AA-03-56,5.3,UIT-A
GS1,70-B3-D5-1F-31-AA-03-57_GS1_DUIS5.3,70-B3-D5-1F-31-AA-03-57,5.3,UIT-A
GS2,70-B3-D5-1F-31-AA-03-58_GS2_DUIS5.3,70-B3-D5-1F-31-AA-03-58,5.3,UIT-A
ED,70-B3-D5-1F-31-AA-03-59_ED_DUIS5.3,70-B3-D5-1F-31-AA-03-59,5.3,UIT-A
GT,70-B3-D5-1F-31-AA-03-60_GT_DUIS5.3,70-B3-D5-1F-31-AA-03-60,5.3,UIT-A
RSA,70-B3-D5-1F-31-AA-03-61_RSA_DUIS5.3,70-B3-D5-1F-31-AA-03-61,5.3,UIT-A
OU,70-B3-D5-1F-31-AA-03-62_OU_DUIS5.3,70-B3-D5-1F-31-AA-03-62,5.3,UIT-A
MDR,70-B3-D5-1F-31-AA-03-63_MDR_DUIS5.3,70-B3-D5-1F-31-AA-03-63,5.3,UIT-A
IS1,70-B3-D5-1F-31-AA-04-00_IS1_DUIS3.0,70-B3-D5-1F-31-AA-04-00,3.0,UIT-B
IS2,70-B3-D5-1F-31-AA-04-01_IS2_DUIS3.0,70-B3-D5-1F-31-AA-04-01,3.0,UIT-B
ES,70-B3-D5-1F-31-AA-04-02_ES_DUIS3.0,70-B3-D5-1F-31-AA-04-02,3.0,UIT-B
GS1,70-B3-D5-1F-31-AA-04-03_GS1_DUIS3.0,70-B3-D5-1F-31-AA-04-03,3.0,UIT-B
GS2,70-B3-D5-1F-31-AA-04-04_GS2_DUIS3.0,70-B3-D5-1F-31-AA-04-04,3.0,UIT-B
ED,70-B3-D5-1F-31-AA-04-05_ED_DUIS3.0,70-B3-D5-1F-31-AA-04-05,3.0,UIT-B
GT,70-B3-D5-1F-31-AA-04-06_GT_DUIS3.0,70-B3-D5-1F-31-AA-04-06,3.0,UIT-B
RSA,70-B3-D5-1F-31-AA-04-07_RSA_DUIS3.0,70-B3-D5-1F-31-AA-04-07,3.0,UIT-B
OU,70-B3-D5-1F-31-AA-04-08_OU_DUIS3.0,70-B3-D5-1F-31-AA-04-08,3.0,UIT-B
IS1,70-B3-D5-1F-31-AA-04-09_IS1_DUIS3.1,70-B3-D5-1F-31-AA-04-09,3.1,UIT-B
IS2,70-B3-D5-1F-31-AA-04-10_IS2_DUIS3.1,70-B3-D5-1F-31-AA-04-10,3.1,UIT-B
ES,70-B3-D5-1F-31-AA-04-11_ES_DUIS3.1,70-B3-D5-1F-31-AA-04-11,3.1,UIT-B
GS1,70-B3-D5-1F-31-AA-04-12_GS1_DUIS3.1,70-B3-D5-1F-31-AA-04-12,3.1,UIT-B
GS2,70-B3-D5-1F-31-AA-04-13_GS2_DUIS3.1,70-B3-D5-1F-31-AA-04-13,3.1,UIT-B
ED,70-B3-D5-1F-31-AA-04-14_ED_DUIS3.1,70-B3-D5-1F-31-AA-04-14,3.1,UIT-B
GT,70-B3-D5-1F-31-AA-04-15_GT_DUIS3.1,70-B3-D5-1F-31-AA-04-15,3.1,UIT-B
RSA,70-B3-D5-1F-31-AA-04-16_RSA_DUIS3.1,70-B3-D5-1F-31-AA-04-16,3.1,UIT-B
OU,70-B3-D5-1F-31-AA-04-17_OU_DUIS3.1,70-B3-D5-1F-31-AA-04-17,3.1,UIT-B
IS1,70-B3-D5-1F-31-AA-04-18_IS1_DUIS4.0,70-B3-D5-1F-31-AA-04-18,4.0,UIT-B
IS2,70-B3-D5-1F-31-AA-04-19_IS2_DUIS4.0,70-B3-D5-1F-31-AA-04-19,4.0,UIT-B
ES,70-B3-D5-1F-31-AA-04-20_ES_DUIS4.0,70-B3-D5-1F-31-AA-04-20,4.0,UIT-B
GS1,70-B3-D5-1F-31-AA-04-21_GS1_DUIS4.0,70-B3-D5-1F-31-AA-04-21,4.0,UIT-B
GS2,70-B3-D5-1F-31-AA-04-22_GS2_DUIS4.0,70-B3-D5-1F-31-AA-04-22,4.0,UIT-B
ED,70-B3-D5-1F-31-AA-04-23_ED_DUIS4.0,70-B3-D5-1F-31-AA-04-23,4.0,UIT-B
GT,70-B3-D5-1F-31-AA-04-24_GT_DUIS4.0,70-B3-D5-1F-31-AA-04-24,4.0,UIT-B
RSA,70-B3-D5-1F-31-AA-04-25_RSA_DUIS4.0,70-B3-D5-1F-31-AA-04-25,4.0,UIT-B
OU,70-B3-D5-1F-31-AA-04-26_OU_DUIS4.0,70-B3-D5-1F-31-AA-04-26,4.0,UIT-B
IS1,70-B3-D5-1F-31-AA-04-27_IS1_DUIS5.0,70-B3-D5-1F-31-AA-04-27,5.0,UIT-B
IS2,70-B3-D5-1F-31-AA-04-28_IS2_DUIS5.0,70-B3-D5-1F-31-AA-04-28,5.0,UIT-B
ES,70-B3-D5-1F-31-AA-04-29_ES_DUIS5.0,70-B3-D5-1F-31-AA-04-29,5.0,UIT-B
GS1,70-B3-D5-1F-31-AA-04-30_GS1_DUIS5.0,70-B3-D5-1F-31-AA-04-30,5.0,UIT-B
GS2,70-B3-D5-1F-31-AA-04-31_GS2_DUIS5.0,70-B3-D5-1F-31-AA-04-31,5.0,UIT-B
ED,70-B3-D5-1F-31-AA-04-32_ED_DUIS5.0,70-B3-D5-1F-31-AA-04-32,5.0,UIT-B
GT,70-B3-D5-1F-31-AA-04-33_GT_DUIS5.0,70-B3-D5-1F-31-AA-04-33,5.0,UIT-B
RSA,70-B3-D5-1F-31-AA-04-34_RSA_DUIS5.0,70-B3-D5-1F-31-AA-04-34,5.0,UIT-B
OU,70-B3-D5-1F-31-AA-04-35_OU_DUIS5.0,70-B3-D5-1F-31-AA-04-35,5.0,UIT-B
IS1,70-B3-D5-1F-31-AA-04-36_IS1_DUIS5.1,70-B3-D5-1F-31-AA-04-36,5.1,UIT-B
IS2,70-B3-D5-1F-31-AA-04-37_IS2_DUIS5.1,70-B3-D5-1F-31-AA-04-37,5.1,UIT-B
ES,70-B3-D5-1F-31-AA-04-38_ES_DUIS5.1,70-B3-D5-1F-31-AA-04-38,5.1,UIT-B
GS1,70-B3-D5-1F-31-AA-04-39_GS1_DUIS5.1,70-B3-D5-1F-31-AA-04-39,5.1,UIT-B
GS2,70-B3-D5-1F-31-AA-04-40_GS2_DUIS5.1,70-B3-D5-1F-31-AA-04-40,5.1,UIT-B
ED,70-B3-D5-1F-31-AA-04-41_ED_DUIS5.1,70-B3-D5-1F-31-AA-04-41,5.1,UIT-B
GT,70-B3-D5-1F-31-AA-04-42_GT_DUIS5.1,70-B3-D5-1F-31-AA-04-42,5.1,UIT-B
RSA,70-B3-D5-1F-31-AA-04-43_RSA_DUIS5.1,70-B3-D5-1F-31-AA-04-43,5.1,UIT-B
OU,70-B3-D5-1F-31-AA-04-44_OU_DUIS5.1,70-B3-D5-1F-31-AA-04-44,5.1,UIT-B
IS1,70-B3-D5-1F-31-AA-04-45_IS1_DUIS5.2,70-B3-D5-1F-31-AA-04-45,5.2,UIT-B
IS2,70-B3-D5-1F-31-AA-04-46_IS2_DUIS5.2,70-B3-D5-1F-31-AA-04-46,5.2,UIT-B
ES,70-B3-D5-1F-31-AA-04-47_ES_DUIS5.2,70-B3-D5-1F-31-AA-04-47,5.2,UIT-B
GS1,70-B3-D5-1F-31-AA-04-48_GS1_DUIS5.2,70-B3-D5-1F-31-AA-04-48,5.2,UIT-B
GS2,70-B3-D5-1F-31-AA-04-49_GS2_DUIS5.2,70-B3-D5-1F-31-AA-04-49,5.2,UIT-B
ED,70-B3-D5-1F-31-AA-04-50_ED_DUIS5.2,70-B3-D5-1F-31-AA-04-50,5.2,UIT-B
GT,70-B3-D5-1F-31-AA-04-51_GT_DUIS5.2,70-B3-D5-1F-31-AA-04-51,5.2,UIT-B
RSA,70-B3-D5-1F-31-AA-04-52_RSA_DUIS5.2,70-B3-D5-1F-31-AA-04-52,5.2,UIT-B
OU,70-B3-D5-1F-31-AA-04-53_OU_DUIS5.2,70-B3-D5-1F-31-AA-04-53,5.2,UIT-B
IS1,70-B3-D5-1F-31-AA-04-54_IS1_DUIS5.3,70-B3-D5-1F-31-AA-04-54,5.3,UIT-B
IS2,70-B3-D5-1F-31-AA-04-55_IS2_DUIS5.3,70-B3-D5-1F-31-AA-04-55,5.3,UIT-B
ES,70-B3-D5-1F-31-AA-04-56_ES_DUIS5.3,70-B3-D5-1F-31-AA-04-56,5.3,UIT-B
GS1,70-B3-D5-1F-31-AA-04-57_GS1_DUIS5.3,70-B3-D5-1F-31-AA-04-57,5.3,UIT-B
GS2,70-B3-D5-1F-31-AA-04-58_GS2_DUIS5.3,70-B3-D5-1F-31-AA-04-58,5.3,UIT-B
ED,70-B3-D5-1F-31-AA-04-59_ED_DUIS5.3,70-B3-D5-1F-31-AA-04-59,5.3,UIT-B
GT,70-B3-D5-1F-31-AA-04-60_GT_DUIS5.3,70-B3-D5-1F-31-AA-04-60,5.3,UIT-B
RSA,70-B3-D5-1F-31-AA-04-61_RSA_DUIS5.3,70-B3-D5-1F-31-AA-04-61,5.3,UIT-B
OU,70-B3-D5-1F-31-AA-04-62_OU_DUIS5.3,70-B3-D5-1F-31-AA-04-62,5.3,UIT-B
